0,1,2,3,4,5,6,7,8,9,10
99.55,43.78,41.17,4.11,38.1,14.22,57.13,24.33,629.56,1.71,927000000.0
103.81,44.28,42.6,4.22,39.5,14.51,57.29,25.01,644.91,1.77,927000000.0
101.99,44.78,42.56,4.35,39.63,14.6,57.25,25.43,637.05,1.79,936000000.0
100.98,44.12,42.16,4.13,38.82,14.33,56.69,24.94,628.96,1.82,990000000.0
103.79,44.7,43.67,4.36,39.98,14.8,57.51,25.8,643.88,1.88,963000000.0
101.79,44.46,43.54,4.36,39.24,14.56,57.67,25.57,643.41,1.85,945000000.0
104.03,44.11,43.7,4.53,39.44,14.69,56.9,25.59,651.08,1.84,945000000.0
105.54,44.23,44.27,4.35,39.61,14.69,56.83,25.77,655.3,2.01,963000000.0
106.56,43.98,44.27,4.39,39.21,14.61,57.45,25.7,652.47,1.82,909000000.0
107.46,43.45,44.75,4.23,40.07,14.94,57.28,26.0,665.07,1.86,927000000.0
107.58,43.54,45.55,4.39,40.36,14.95,57.95,26.03,665.52,1.89,918000000.0
105.28,42.56,45.44,4.5,40.31,14.52,61.56,25.98,671.67,1.89,936000000.0
104.84,41.09,44.87,4.35,39.61,14.25,60.31,25.38,660.92,1.87,918000000.0
106.47,40.98,45.39,4.42,40.18,14.38,60.45,25.5,666.98,1.81,936000000.0
104.79,40.62,42.9,4.17,39.99,14.26,58.24,25.07,653.2,1.73,936000000.0
105.64,40.17,44.37,4.01,39.97,14.4,58.17,25.13,653.29,1.7,900000000.0
106.27,39.59,43.84,4.09,40.0,14.24,56.33,24.9,654.91,1.72,900000000.0
106.01,39.91,43.68,3.95,40.03,14.55,55.42,25.19,640.15,1.71,783000000.0
103.91,38.22,41.91,3.56,39.44,14.17,53.72,25.15,624.25,1.66,846000000.0
100.78,38.3,41.56,3.52,39.57,14.06,52.46,25.57,622.61,1.67,828000000.0
101.93,39.01,42.82,3.67,40.32,14.27,53.05,26.35,638.37,1.72,837000000.0
101.26,38.8,42.66,3.72,40.64,14.24,53.0,26.23,642.0,1.74,792000000.0
102.0,39.4,42.87,3.91,41.51,14.08,51.76,26.68,656.99,1.83,828000000.0
102.37,39.3,43.41,4.04,42.48,14.37,53.33,27.29,671.68,1.8,828000000.0
102.86,39.06,42.36,4.18,42.59,14.37,50.78,27.75,671.64,1.83,783000000.0
102.37,38.86,42.44,4.51,42.63,14.42,51.58,28.26,670.0,1.86,801000000.0
101.19,39.12,42.75,4.6,43.23,14.42,52.26,28.44,667.0,1.93,765000000.0
103.61,38.76,42.53,4.79,42.92,14.27,55.71,28.1,671.24,1.96,765000000.0
103.13,38.28,43.39,4.59,42.82,14.21,57.8,28.16,676.43,1.87,792000000.0
103.31,38.2,42.97,4.15,42.72,14.21,57.3,28.02,683.17,1.92,801000000.0
101.85,37.83,41.67,4.26,42.53,14.32,57.51,28.68,680.41,1.95,783000000.0
103.37,38.35,43.61,4.37,42.83,14.83,57.76,28.64,693.02,1.97,765000000.0
102.61,38.36,44.03,4.27,43.28,14.76,55.97,28.89,695.32,1.94,882000000.0
103.25,38.54,44.68,4.1,43.38,14.78,56.75,29.37,699.95,2.01,855000000.0
105.14,38.48,44.52,3.97,43.52,14.83,55.75,29.24,680.0,2.02,828000000.0
105.13,38.25,44.34,4.02,43.0,14.56,54.55,29.18,671.8,2.1,783000000.0
106.74,37.91,45.13,4.21,43.75,14.8,56.05,30.08,681.14,2.14,765000000.0
110.04,36.46,46.17,4.21,48.16,15.13,59.68,30.52,719.33,2.21,792000000.0
106.53,36.99,46.11,4.1,49.42,15.12,61.02,30.25,731.12,2.15,837000000.0
105.86,37.28,46.39,3.83,48.91,15.02,60.94,30.14,732.82,2.15,837000000.0
110.22,37.91,45.92,3.78,49.18,15.82,59.55,30.35,736.92,2.18,774000000.0
111.38,37.78,46.6,3.73,48.61,15.65,60.25,29.76,744.85,2.13,756000000.0
110.43,38.75,46.6,3.88,47.95,15.37,60.31,29.61,737.39,2.12,756000000.0
111.98,39.02,46.14,4.04,48.5,15.62,60.6,29.83,747.74,2.19,792000000.0
113.27,38.9,45.65,4.2,49.33,15.73,60.84,30.0,748.82,2.28,756000000.0
112.74,38.34,45.49,4.06,49.56,15.58,60.29,30.07,755.31,2.2,765000000.0
112.22,38.35,45.58,3.91,49.54,15.85,60.3,29.94,760.67,2.2,765000000.0
